fecha,tipo_dia,demanda_gwh,gen_hidraulica_gwh,gen_termica_total_gwh,gen_vapor_bunker_gwh,gen_turbinas_gas_gwh,gen_turbinas_diesel_gwh,gen_motores_bunker_gwh,gen_motores_diesel_gwh,gen_turbinas_nafta_gwh,gen_otros_gwh,total_generacion_gwh,total_importacion_gwh,total_exportacion_gwh,total_perdidas_transporte_gwh,pct_hidro,pct_termica,balance_gwh,dependencia_importacion,excedente_exportacion,intensidad_energetica,temperatura_media_c,temperatura_max_c,temperatura_min_c,humedad_relativa_pct,precipitacion_mm,viento_max_kmh,dia_semana,dia_semana_sin,dia_semana_cos,dia_del_anio_sin,dia_del_anio_cos,flag_covid,flag_racionamiento,caudal_paute_m3s,caudal_coca_m3s,caudal_pastaza_m3s,caudal_napo_m3s,caudal_ponderado,oni_mensual,precip_embalses,poblacion
2009-07-01,Laboral,40.39396307,29.2395,16.474400000000003,5.5401,3.1049,3.7223,3.6384,0.2572,0.0,0.2115,45.714,1.3691,0.0511,2.5309,0.6396,0.36037975237345243,4.107136930000006,0.03389367855853714,0.0012650405188381038,2.8076991296778114e-06,20.37,24.15,17.62,82.79,2.72,9.37,2,0.974928,-0.222521,0.010751,-0.999942,0,0,153.17,268.77,335.51,1478.11,315.8,0.45,3.2,14386856
2009-07-02,Laboral,40.91112057,33.2481,14.3026,5.4967,2.8428,2.6761,2.9081,0.201,0.0,0.1779,47.5508,0.1137,0.0731,3.3932,0.6992,0.30078568604524003,3.2870794300000057,0.0027791954465157293,0.001786800238700966,2.843501967634175e-06,20.28,23.84,17.69,83.85,3.74,9.03,3,0.433884,-0.900969,-0.006451,-0.999979,0,0,149.31,260.22,331.66,1385.76,303.43,0.45,8.45,14387583
2009-07-03,Laboral,40.894299555,36.3701,11.615400000000001,5.912,1.9404,1.6403,1.8343,0.0958,0.0,0.1926,47.9856,0.201,0.8493,4.3202,0.7579,0.24206011803541067,2.1228004449999958,0.004915110472296241,0.020768175741896502,2.842189218539217e-06,20.39,23.74,18.03,83.31,3.82,8.88,4,-0.433884,-0.900969,-0.023651,-0.99972,0,0,145.89,279.54,331.66,1488.36,317.06,0.45,9.275,14388310
2009-07-04,Sábado,37.045126592,35.4433,8.795000000000002,5.2759,1.256,1.3402,0.7158,0.0367,0.0,0.1704,44.2384,0.0697,1.3962,4.9439,0.8012,0.1988091793554921,0.922873407999993,0.001881489048955009,0.037689168007905074,2.574538281609812e-06,20.57,24.34,17.93,83.18,3.46,8.77,5,-0.974928,-0.222521,-0.040844,-0.999166,0,0,142.88,284.76,331.66,1478.11,316.92,0.45,3.95,14389037
2009-07-05,Domingo,34.074938219,31.7944,7.4003,5.0569,0.6346,1.2584,0.4443,0.0,0.0,0.0061,39.1946,0.0804,0.077,4.6726,0.8112,0.18880917269215655,0.4504617809999969,0.0023595053785062884,0.002259725300310749,2.367998406297699e-06,20.83,25.09,17.79,80.87,0.89,9.85,6,-0.781831,0.62349,-0.058026,-0.998315,0,0,140.25,274.42,330.13,1326.39,300.13,0.45,3.225,14389764
2009-07-06,Laboral,39.729835254,34.2994,11.415,6.1805,1.4855,1.2841,2.2411,0.1787,0.0,0.0451,45.7144,0.0836,0.0776,3.5255,0.7503,0.24970250074374814,2.465064745999997,0.002104212098175845,0.0019531920911297317,2.760839449744974e-06,20.74,24.51,18.22,80.79,1.34,9.74,0,0.0,1.0,-0.07519,-0.997169,0,0,137.68,261.42,326.34,1240.65,287.14,0.45,5.5,14390491
2009-07-07,Laboral,41.334033213,35.637,10.889000000000001,6.3087,1.0964,0.9559,2.3144,0.124,0.0,0.0896,46.5259,1.0222,0.0457,3.6404,0.766,0.23404168430916975,2.5279667870000035,0.024730226414936617,0.001105626440190377,2.872170598277366e-06,20.37,24.34,18.07,83.18,4.23,8.99,1,0.781831,0.62349,-0.092331,-0.995728,0,0,135.46,254.27,322.59,1272.5,285.49,0.45,10.425,14391218
2009-07-08,Laboral,40.93740973,36.2405,11.1609,6.3664,1.2365,1.0312,2.1284,0.1659,0.0,0.2325,47.4014,0.2916,0.5255,3.7033,0.7645,0.23545507094727158,2.526790270000005,0.007123069141971334,0.012836669527112262,2.8444667993103084e-06,20.32,23.26,18.25,85.38,3.03,7.8,2,0.974928,-0.222521,-0.109446,-0.993993,0,0,133.59,256.04,321.11,1338.68,290.22,0.45,7.05,14391945
2009-07-09,Laboral,40.412091396,35.43,11.390200000000002,6.4386,1.4398,1.048,2.0534,0.1843,0.0,0.2261,46.8203,0.4334,0.52,3.8577,0.7567,0.24327481882858507,2.463908603999998,0.010724513011541344,0.012867436008309873,2.8078241063229957e-06,19.89,22.76,17.84,85.9,7.73,8.44,3,0.433884,-0.900969,-0.126528,-0.991963,0,0,134.21,277.61,323.34,1502.14,311.36,0.45,11.575,14392672
2009-07-10,Laboral,40.445176824,31.615,15.405200000000002,6.8158,2.833,2.6678,2.5331,0.3363,0.0,0.2192,47.0202,0.5291,0.0556,3.9599,0.6724,0.32762940183155326,3.088623176000003,0.013081905966251932,0.0013747003812579993,2.8099809380675126e-06,20.24,24.43,17.23,81.68,3.75,10.76,4,-0.433884,-0.900969,-0.143572,-0.98964,0,0,134.21,289.4,326.34,1701.16,331.28,0.45,7.4,14393399
